Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Add to Cart All Products/android.widget.EditText""), ""4"", 0)",,,,13-02-2024 12:08:07,13-02-2024 12:08:10,2.653s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart All Products/android.widget.Button - ADD""), 0)",,,,13-02-2024 12:08:10,13-02-2024 12:08:12,1.488s,PASSED
pressBack(),,,,13-02-2024 12:08:12,13-02-2024 12:08:13,0.984s,PASSED
pressBack(),,,,13-02-2024 12:08:13,13-02-2024 12:08:14,1.722s,PASSED
Video,,,,13-02-2024 12:08:16,13-02-2024 12:08:16,0.001s,PASSED
,,,,,,,
Test Cases/Normal/Add To Chart - Shoes,,,,13-02-2024 12:08:16,13-02-2024 12:09:24,1m - 7.722s,PASSED
"startApplication(""C:\Users\masep\Documents\Bootcamp\Assignment\Mobile\Android-Solodroid_E-CommerceApp Demo_3.2.0.apk\Solodroid_E-CommerceApp Demo_3.2.0.apk"", true)",,,,13-02-2024 12:08:16,13-02-2024 12:08:29,12.426s,PASSED
"tap(findTestObject(""Object Repository/Add To Cart _ CheckOut/android.widget.FrameLayout""), 0)",,,,13-02-2024 12:08:29,13-02-2024 12:08:35,6.073s,PASSED
"tap(findTestObject(""Object Repository/Add To Cart _ CheckOut/android.widget.RelativeLayout""), 0)",,,,13-02-2024 12:08:35,13-02-2024 12:08:37,2.323s,PASSED
"tap(findTestObject(""Object Repository/Add To Cart _ CheckOut/android.widget.ImageView""), 0)",,,,13-02-2024 12:08:37,13-02-2024 12:08:39,1.957s,PASSED
"tap(findTestObject(""Object Repository/Add To Cart _ CheckOut/android.widget.Button - ADD TO CART""), 0)",,,,13-02-2024 12:08:39,13-02-2024 12:08:48,8.860s,PASSED
"setText(findTestObject(""Object Repository/Add To Cart _ CheckOut/android.widget.EditText""), ""2"", 0)",,,,13-02-2024 12:08:48,13-02-2024 12:08:51,2.970s,PASSED
"tap(findTestObject(""Object Repository/Add To Cart _ CheckOut/android.widget.Button - ADD""), 0)",,,,13-02-2024 12:08:51,13-02-2024 12:08:52,0.843s,PASSED
"tap(findTestObject(""Object Repository/Add To Cart _ CheckOut/android.widget.TextView""), 0)",,,,13-02-2024 12:08:52,13-02-2024 12:08:53,1.082s,PASSED
"tap(findTestObject(""Object Repository/Add To Cart _ CheckOut/android.widget.Button - CHECKOUT""), 0)",,,,13-02-2024 12:08:53,13-02-2024 12:08:57,3.785s,PASSED
"setText(findTestObject(""Object Repository/Add To Cart _ CheckOut/android.widget.EditText - Your Name""), ""Asep Mahmudin"", 0)",,,,13-02-2024 12:08:57,13-02-2024 12:09:00,3.302s,PASSED
"setText(findTestObject(""Object Repository/Add To Cart _ CheckOut/android.widget.EditText - your.emailgmail.com""), ""workforaces@gmail.com"", 0)",,,,13-02-2024 12:09:00,13-02-2024 12:09:03,3.350s,PASSED
"setText(findTestObject(""Object Repository/Add To Cart _ CheckOut/android.widget.EditText - 628123456789""), ""+6281224029880"", 0)",,,,13-02-2024 12:09:03,13-02-2024 12:09:06,2.870s,PASSED
"setText(findTestObject(""Object Repository/Add To Cart _ CheckOut/android.widget.EditText - Your Address""), ""Cibadak - Sukabumi"", 0)",,,,13-02-2024 12:09:06,13-02-2024 12:09:10,3.576s,PASSED
hideKeyboard(),,,,13-02-2024 12:09:10,13-02-2024 12:09:12,2.623s,PASSED
"setText(findTestObject(""Object Repository/Add To Cart _ CheckOut/android.widget.EditText - Comment""), ""Task Mobile "", 0)",,,,13-02-2024 12:09:12,13-02-2024 12:09:17,4.138s,PASSED
hideKeyboard(),,,,13-02-2024 12:09:17,13-02-2024 12:09:19,2.550s,PASSED
"tap(findTestObject(""Object Repository/Add and CheckOut/android.widget.RelativeLayout""), 0)",,,,13-02-2024 12:09:19,13-02-2024 12:09:20,0.936s,PASSED
closeApplication(),,,,13-02-2024 12:09:20,13-02-2024 12:09:22,1.819s,PASSED
Video,,,,13-02-2024 12:09:24,13-02-2024 12:09:24,0.000s,PASSED
